iter	Passed	Remaining
0	141	141834
1	142	71204
2	143	47628
3	143	35840
4	144	28768
5	145	24051
6	145	20710
7	146	18200
8	147	16237
9	148	14660
10	148	13373
11	149	12297
12	150	11392
13	150	10611
14	151	9937
15	151	9345
16	152	8832
17	153	8368
18	154	7952
19	154	7584
20	155	7247
21	156	6936
22	156	6654
23	157	6394
24	157	6156
25	158	5935
26	159	5733
27	159	5544
28	160	5367
29	160	5201
30	161	5045
31	161	4900
32	162	4764
33	163	4636
34	163	4515
35	164	4401
36	164	4293
37	165	4192
38	166	4097
39	166	4004
40	167	3917
41	168	3837
42	168	3760
43	169	3687
44	170	3614
45	170	3546
46	171	3481
47	172	3420
48	173	3360
49	173	3303
50	174	3250
51	175	3196
52	176	3144
53	176	3094
54	177	3046
55	178	3001
56	178	2957
57	179	2916
58	180	2874
59	180	2833
60	181	2794
61	182	2759
62	183	2723
63	183	2687
64	184	2653
65	185	2620
66	185	2587
67	186	2555
68	187	2525
69	187	2495
70	188	2466
71	189	2438
72	189	2411
73	190	2385
74	191	2358
75	191	2333
76	192	2308
77	193	2285
78	193	2261
79	194	2238
80	195	2216
81	196	2195
82	196	2170
83	197	2150
84	197	2130
85	198	2111
86	199	2091
87	200	2073
88	200	2054
89	201	2036
90	202	2018
91	202	2000
92	203	1983
93	204	1967
94	204	1950
95	205	1934
96	205	1917
97	206	1901
98	207	1884
99	207	1869
100	208	1853
101	208	1838
102	209	1823
103	210	1810
104	210	1797
105	211	1782
106	211	1769
107	212	1755
108	213	1741
109	213	1728
110	214	1715
111	214	1702
112	215	1691
113	216	1680
114	216	1668
115	217	1656
116	217	1643
117	218	1632
118	218	1621
119	219	1609
120	220	1598
121	220	1587
122	221	1576
123	221	1566
124	222	1557
125	223	1546
126	223	1536
127	224	1526
128	224	1516
129	225	1507
130	225	1497
131	226	1488
132	226	1479
133	227	1470
134	228	1462
135	228	1453
136	229	1445
137	230	1436
138	230	1428
139	231	1420
140	231	1411
141	232	1402
142	232	1394
143	233	1386
144	233	1378
145	234	1371
146	235	1365
147	235	1357
148	236	1350
149	236	1342
150	237	1335
151	238	1328
152	238	1321
153	239	1314
154	239	1307
155	240	1301
156	241	1295
157	241	1289
158	242	1282
159	243	1276
160	243	1268
161	244	1262
162	244	1256
163	245	1249
164	245	1243
165	246	1237
166	246	1231
167	247	1226
168	248	1220
169	248	1214
170	249	1208
171	249	1203
172	250	1197
173	251	1191
174	251	1186
175	252	1180
176	252	1175
177	253	1170
178	254	1165
179	254	1160
180	255	1155
181	255	1150
182	256	1145
183	257	1139
184	257	1134
185	258	1129
186	258	1124
187	259	1120
188	259	1115
189	260	1110
190	261	1106
191	261	1101
192	262	1096
193	262	1091
194	263	1087
195	263	1082
196	264	1078
197	265	1073
198	265	1070
199	266	1065
200	267	1061
201	267	1057
202	268	1053
203	269	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	271	1029
209	272	1025
210	273	1021
211	273	1017
212	274	1013
213	274	1009
214	275	1005
215	276	1002
216	276	998
217	277	994
218	277	990
219	278	987
220	279	984
221	279	980
222	280	976
223	280	973
224	281	969
225	282	966
226	283	963
227	283	960
228	284	957
229	285	954
230	285	951
231	286	948
232	287	944
233	287	941
234	288	938
235	288	935
236	289	931
237	290	929
238	290	926
239	291	923
240	292	919
241	292	916
242	293	913
243	293	910
244	294	907
245	294	903
246	295	900
247	296	897
248	296	894
249	297	892
250	297	889
251	298	886
252	299	883
253	299	880
254	300	877
255	300	874
256	301	871
257	301	868
258	302	865
259	303	862
260	303	860
261	304	857
262	304	854
263	305	851
264	306	849
265	306	846
266	307	843
267	307	840
268	308	838
269	309	835
270	309	833
271	310	830
272	311	828
273	311	825
274	312	822
275	312	820
276	313	817
277	313	814
278	314	812
279	314	809
280	315	807
281	316	805
282	316	802
283	317	800
284	317	797
285	318	795
286	319	792
287	319	790
288	320	787
289	320	785
290	321	783
291	321	780
292	322	778
293	323	776
294	324	774
295	324	772
296	325	769
297	325	767
298	326	765
299	327	763
300	327	761
301	328	758
302	328	756
303	329	754
304	330	752
305	330	750
306	331	747
307	331	745
308	332	743
309	333	741
310	333	739
311	334	736
312	334	734
313	335	732
314	335	730
315	336	728
316	337	726
317	337	724
318	338	722
319	338	720
320	339	717
321	340	715
322	340	713
323	341	712
324	341	710
325	342	708
326	343	706
327	343	704
328	344	702
329	344	700
330	345	698
331	345	696
332	346	694
333	347	692
334	347	690
335	348	688
336	349	686
337	349	684
338	350	682
339	350	680
340	351	678
341	351	676
342	352	675
343	353	673
344	353	671
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	660
351	357	658
352	358	657
353	359	655
354	359	653
355	360	652
356	360	650
357	361	648
358	362	646
359	362	644
360	363	643
361	363	641
362	364	639
363	364	637
364	365	636
365	366	634
366	367	633
367	367	631
368	368	630
369	369	628
370	369	626
371	370	624
372	370	623
373	371	621
374	371	619
375	372	618
376	373	616
377	373	615
378	374	613
379	375	611
380	375	610
381	376	608
382	376	606
383	377	605
384	378	603
385	378	602
386	379	600
387	379	599
388	380	597
389	381	596
390	381	594
391	382	593
392	382	591
393	383	589
394	384	588
395	384	586
396	385	585
397	386	583
398	386	582
399	387	580
400	387	579
401	388	577
402	388	576
403	389	574
404	390	573
405	390	571
406	391	570
407	391	568
408	392	567
409	393	565
410	393	564
411	394	562
412	394	560
413	395	559
414	395	558
415	396	556
416	397	555
417	397	553
418	398	552
419	399	551
420	399	549
421	400	548
422	400	546
423	401	545
424	402	544
425	402	542
426	403	541
427	404	540
428	405	539
429	405	537
430	406	536
431	406	534
432	407	533
433	408	532
434	408	530
435	409	529
436	410	528
437	410	527
438	411	526
439	412	524
440	413	523
441	413	522
442	414	520
443	414	519
444	415	518
445	416	516
446	416	515
447	417	514
448	418	512
449	418	511
450	419	510
451	419	508
452	420	507
453	420	506
454	421	504
455	422	503
456	422	502
457	423	501
458	424	500
459	424	498
460	425	497
461	426	496
462	426	494
463	427	493
464	427	492
465	428	490
466	429	489
467	429	488
468	430	487
469	430	485
470	431	484
471	431	483
472	432	481
473	433	480
474	433	479
475	434	477
476	434	476
477	435	475
478	436	474
479	436	473
480	437	472
481	438	470
482	438	469
483	439	468
484	439	467
485	440	465
486	441	464
487	441	463
488	442	462
489	443	461
490	443	459
491	444	458
492	444	457
493	445	456
494	445	454
495	446	453
496	447	452
497	447	451
498	448	450
499	449	449
500	449	447
501	450	446
502	450	445
503	451	444
504	451	442
505	452	441
506	453	440
507	453	439
508	454	438
509	455	437
510	455	436
511	456	434
512	456	433
513	457	432
514	457	431
515	458	430
516	459	428
517	459	427
518	460	426
519	461	425
520	461	424
